isin,nav,nav_date
INF0GCD01180,1149.814,05-Aug-2025
-,1307.4534,05-Aug-2025
INF0GCD01149,1145.9899,05-Aug-2025
INF0GCD01164,1165.4513,05-Aug-2025
-,1125.6223,05-Aug-2025
INF0GCD01099,1122.0376,05-Aug-2025
-,1233.2694,05-Aug-2025
INF0GCD01057,1125.9269,05-Aug-2025
INF0GCD01073,1139.3967,05-Aug-2025
-,1108.3324,05-Aug-2025
INF789FA1V03,13.3245,05-Aug-2025
INF789FA1V29,19.4292,05-Aug-2025
INF789F015Z6,22.5468,05-Aug-2025
INF789FA1U87,14.9615,05-Aug-2025
INF789FC1HE1,13.5075,05-Aug-2025
INF789F016Z4,16.7813,05-Aug-2025
INF789FA1U46,13.0776,05-Aug-2025
INF789FA1U61,14.8633,05-Aug-2025
INF789FA1U20,14.801,05-Aug-2025
INF789FC1HC5,13.2804,05-Aug-2025
INF789F012Z3,15.21,05-Aug-2025
INF789F014Z9,22.1639,05-Aug-2025
INF209K01S38,116.1127,05-Aug-2025
INF209K01785,114.1548,05-Aug-2025
INF209KA1KT0,10.8135,05-Aug-2025
INF209K01N90,12.9453,05-Aug-2025
INF209KA1KS2,12.143,05-Aug-2025
INF209K01983,12.7439,05-Aug-2025
INF846K01ZN6,10.2348,05-Aug-2025
INF846K01ZQ9,10.2298,05-Aug-2025
INF846K01ZS5,14.2816,05-Aug-2025
INF846K01ZO4,10.3658,05-Aug-2025
INF846K01ZM8,18.3061,05-Aug-2025
INF846K01ZV9,10.2347,05-Aug-2025
INF846K01ZY3,10.2116,05-Aug-2025
INF846K01A03,13.3563,05-Aug-2025
INF846K01ZW7,10.2476,05-Aug-2025
INF846K01ZU1,17.2871,05-Aug-2025
INF194KA1T34,10.6251,05-Aug-2025
INF194KA1M23,20.0213,05-Aug-2025
INF194KA1T00,11.9367,05-Aug-2025
INF194KA1S43,10.3538,05-Aug-2025
INF194KA1M31,13.2828,05-Aug-2025
INF194KA1S76,10.6523,05-Aug-2025
INF194KA1S19,10.6062,05-Aug-2025
INF194KA1L81,19.4374,05-Aug-2025
INF194KA1R85,11.2962,05-Aug-2025
INF194KA1R28,10.6072,05-Aug-2025
INF194KA1L99,13.1034,05-Aug-2025
INF194KA1R51,10.6865,05-Aug-2025
INF251K01EN4,11.6003,05-Aug-2025
INF251K01EI4,32.2261,05-Aug-2025
INF251K01EJ2,10.4841,05-Aug-2025
INF251K01EL8,10.5367,05-Aug-2025
INF251K01GU4,11.8478,05-Aug-2025
INF251K01GP4,29.5578,05-Aug-2025
INF251K01GQ2,10.6554,05-Aug-2025
INF251K01GS8,10.753,05-Aug-2025
INF251K01EU9,11.5252,05-Aug-2025
INF251K01EP9,27.8431,05-Aug-2025
INF251K01EQ7,10.5254,05-Aug-2025
INF251K01ES3,10.5577,05-Aug-2025
INF760K01HB2,23.493,05-Aug-2025
INF760K01HC0,12.5106,05-Aug-2025
INF760K01GY6,21.9133,05-Aug-2025
INF760K01GZ3,11.6861,05-Aug-2025
INF740KA1KE8,16.411,05-Aug-2025
INF740KA1KF5,11.605,05-Aug-2025
INF740KA1KH1,10.5857,05-Aug-2025
INF740KA1KJ7,11.397,05-Aug-2025
INF740KA1JX0,16.1259,05-Aug-2025
INF740KA1JY8,11.5725,05-Aug-2025
INF740KA1KA6,10.5624,05-Aug-2025
INF740KA1KC2,10.7461,05-Aug-2025
INF090I01FW8,109.1598,05-Aug-2025
INF090I01DG6,100.7465,05-Aug-2025
INF090I01DH4,17.1986,05-Aug-2025
INF090I01FX6,19.322,05-Aug-2025
INF090I01FU2,15.3225,05-Aug-2025
INF090I01FQ0,17.3633,05-Aug-2025
INF090I01FS6,13.8769,05-Aug-2025
INF090I01DN2,13.0003,05-Aug-2025
INF090I01DJ0,15.446,05-Aug-2025
INF090I01DL6,12.1823,05-Aug-2025
INF179K01DC2,32.9112,05-Aug-2025
INF179K01XD8,33.6377,05-Aug-2025
INF179KA1D33,19.9234,05-Aug-2025
INF179KA1D17,20.6108,05-Aug-2025
INF179K01DD0,10.5284,05-Aug-2025
INF179K01XB2,10.4266,05-Aug-2025
INF917K01VZ8,12.1261,05-Aug-2025
INF917K01HN3,78.8312,05-Aug-2025
INF917K01HP8,11.5552,05-Aug-2025
INF917K01HR4,20.5926,05-Aug-2025
INF917K01WB7,11.8646,05-Aug-2025
INF917K01AH0,73.9993,05-Aug-2025
INF917K01AF4,11.1479,05-Aug-2025
INF917K01AI8,17.2149,05-Aug-2025
INF917K01AK4,28.109,05-Aug-2025
INF109K016B1,31.5931,05-Aug-2025
INF109K017B9,10.2365,05-Aug-2025
INF109K019B5,15.5003,05-Aug-2025
INF109K01CQ1,30.1548,05-Aug-2025
INF109K01SK0,10.3911,05-Aug-2025
INF109K01SN4,11.2039,05-Aug-2025
INF205K01QX3,1986.151,05-Aug-2025
INF205K01RA9,1269.9222,05-Aug-2025
INF205K01RD3,3448.6726,05-Aug-2025
INF205K01RF8,3447.5879,05-Aug-2025
INF205K01RG6,1257.9787,05-Aug-2025
INF205K01RI2,1182.4805,05-Aug-2025
INF205K01RK8,3378.0487,05-Aug-2025
INF205K01RM4,3215.9397,05-Aug-2025
INF205K01RN2,1843.2699,05-Aug-2025
