isin,nav,nav_date
INF0GCD01149,1154.3068,11-Dec-2025
INF0GCD01164,1176.3357,11-Dec-2025
-,1130.9064,11-Dec-2025
INF0GCD01099,1139.2376,11-Dec-2025
-,1244.1762,11-Dec-2025
INF0GCD01057,1132.5974,11-Dec-2025
INF0GCD01073,1147.8063,11-Dec-2025
-,1112.5171,11-Dec-2025
INF789FA1V03,13.5635,11-Dec-2025
INF789FA1V29,19.7778,11-Dec-2025
INF789F015Z6,22.9512,11-Dec-2025
INF789FA1U87,15.2298,11-Dec-2025
INF789FC1HE1,13.5482,11-Dec-2025
INF789F016Z4,17.0822,11-Dec-2025
INF789FA1U46,13.3,11-Dec-2025
INF789FA1U61,15.1162,11-Dec-2025
INF789FA1U20,15.0528,11-Dec-2025
INF789FC1HC5,13.3049,11-Dec-2025
INF789F012Z3,15.4687,11-Dec-2025
INF789F014Z9,22.5409,11-Dec-2025
INF209K01S38,117.6693,11-Dec-2025
INF209K01785,115.6091,11-Dec-2025
INF209KA1KT0,10.9584,11-Dec-2025
INF209K01N90,12.8635,11-Dec-2025
INF209KA1KS2,12.2977,11-Dec-2025
INF209K01983,12.6551,11-Dec-2025
INF846K01ZN6,10.2063,11-Dec-2025
INF846K01ZQ9,10.2237,11-Dec-2025
INF846K01ZS5,14.5233,11-Dec-2025
INF846K01ZO4,10.3391,11-Dec-2025
INF846K01ZM8,18.6159,11-Dec-2025
INF846K01ZV9,10.2052,11-Dec-2025
INF846K01ZY3,10.175,11-Dec-2025
INF846K01A03,13.5543,11-Dec-2025
INF846K01ZW7,10.2209,11-Dec-2025
INF846K01ZU1,17.5433,11-Dec-2025
INF194KA1T34,10.7795,11-Dec-2025
INF194KA1M23,20.3121,11-Dec-2025
INF194KA1T00,11.6365,11-Dec-2025
INF194KA1S43,10.3247,11-Dec-2025
INF194KA1M31,13.4757,11-Dec-2025
INF194KA1S76,10.7078,11-Dec-2025
INF194KA1S19,10.7481,11-Dec-2025
INF194KA1L81,19.6974,11-Dec-2025
INF194KA1R85,11.0204,11-Dec-2025
INF194KA1R28,10.5766,11-Dec-2025
INF194KA1L99,13.2786,11-Dec-2025
INF194KA1R51,10.7376,11-Dec-2025
INF251K01EN4,11.7842,11-Dec-2025
INF251K01EI4,32.7371,11-Dec-2025
INF251K01EJ2,10.4083,11-Dec-2025
INF251K01EL8,10.5217,11-Dec-2025
INF251K01GU4,12.0516,11-Dec-2025
INF251K01GP4,30.0663,11-Dec-2025
INF251K01GQ2,10.5966,11-Dec-2025
INF251K01GS8,10.7548,11-Dec-2025
INF251K01EU9,11.7079,11-Dec-2025
INF251K01EP9,28.2846,11-Dec-2025
INF251K01EQ7,10.451,11-Dec-2025
INF251K01ES3,10.5333,11-Dec-2025
INF760K01HB2,23.8119,11-Dec-2025
INF760K01HC0,12.36,11-Dec-2025
INF760K01GY6,22.1594,11-Dec-2025
INF760K01GZ3,11.5178,11-Dec-2025
INF740KA1KE8,16.7144,11-Dec-2025
